PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
114782;CDM Alfredo Goyeneche;;Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.    Horario de taquilla   De lunes a viernes: de 9 a 21 horas Sábados y domingos: de 9 a 13:30 horas Festivos: cerrado    Cierre completo del centro  Los fines de semana por la tarde, festivos, semana santa, fines de semana del mes de julio, mes de agosto, y los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.;Clases y escuelas deportivas     Pre infantiles (4 y 5 años): natación y predeporte.  Infantiles (edad según modalidades): gimnasia rítmica, natación, natación sincronizada y pádel.   Jóvenes y adultos (de 15 a 64 años): acuagim, aeróbic, combinadas, estiramientos, fitness, fitness acuático, GAP (glúteos, abdómen y piernas), marcha nórdica, natación, pádel, pilates y yoga.  Mayores 65 años: actividad física, acuagim, gimnasia acuática, natación, pilates y prevención de caídas.  Personas con discapacidad: natación.   Equipamientos    Superficie total de las instalaciones: 13.505 metros cuadrados.  Unidades deportivas al aire libre: 2 pistas de pádel, 3 pistas de pádel (cristal), 2 pistas de tenis y rocódromo.  Unidades deportivas cubiertas: pabellón polideportivo, piscina (vaso 25 metros y vaso de enseñanza), sala de musculación, 2 salas multiusos.  Ayudas técnicas para la accesibilidad: 1 ascensor, 1 plataforma y 1 grúa de piscina.  Columna de rescate cardíaco.   Acceso controlado.;Renfe: Aravaca (líneas C7 y C10).  Bicicleta: El centro dispone de aparca bicicletas exterior con capacidad para 5 bicicletas.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=789fe8ae8d81c010VgnVCM1000000b205a0aRCRD;ARROYO DE POZUELO;CALLE;V;99;;;;;MADRID;MADRID;28023;7;ARAVACA;9;MONCLOA-ARAVACA;433581;4478234;4.045.212.135.012.850;-3.783.283.203.719.190;913 571 228;;idmagoyeneche@madrid.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios
4696;CDM Aluche;;Horario de uso de las instalaciones deportivas Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a domingos y festivos de 8,30 a 20,30 horas.   Cierre completo del centro    Días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.;Clases y escuelas deportivas    Pre-Infantiles (1 a 5 años, según modalidades): actividad física y juego, natación, patinaje velocidad y pre-deporte (gimnasia rítmica y artística).  Infantiles (6 a 14 años, según modalidades): aeróbic, atletismo, baloncesto, buceo, fútbol, gimnasia artística, gimnasia rítmica, gimnasia rítmica (estética), hockey patines, judo, karate shyto, natación, patinaje artístico, patinaje velocidad, polideportiva, tenis y voleibol.  Jóvenes y adultos (15 a 64 años, según modalidades): aeróbic, acuapilates, atletismo, bailes de salón, baloncesto, carrera acuática (acuarunning) , caminar por Madrid, correr por Madrid (carrera popular), ciclo sala, fitness, gimnasia acuática (acuagim), GAP (glúteos, abdomen, piernas) , gimnasia de compensación (salud), gimnasia rítmica (estética), judo, karate shyto,  marcha nórdica, natación, natación de compensación, natación embarazadas, pádel, pilates, streching, tenis y yoga dinámico.  Mayores de 65 años: acondicionamiento físico deportivo, gimnasia acuática (acuagim), natación y pilates.  Personas con discapacidad física: natación.    Actividades físico deportivas para centros escolares: escuela deportiva de educación Vial.   Equipamientos    Superficie total de las instalaciones:  13.960 metros cuadrados  Unidades deportivas al aire libre: 1 campo de fútbol de césped artificial, circuito de educación vial, 1 frontón corto, 1 frontón largo, patinódromo, piscinas (1 vaso de gemelas y 1 vaso infantil), pista de atletismo, pista de hockey patines techada, 4 pistas de pádel, pista de patinaje, 9 pistas polideportivas, 9 pistas de tenis, 2 pistas de voley playa y 19 tenis de mesa.   Unidades deportivas cubiertas:  pabellón polideportivo, piscinas (vaso de 50 metros y vaso de 25 metros), sala de artes marciales, salas multiusos, sala de musculación y 2 saunas.    Servicio de medicina deportiva: Acondicionamiento cardiovascular, reconocimientos médicos para deportistas.  Ayudas técnicas para la accesibilidad: 1 grúa de piscina.   Oficina de promoción deportiva: responsable de la coordinación de Juegos deportivos municipales, torneos y circuitos municipales, copas de primavera, información en las escuelas de promoción deportiva.   Columna de rescate cardíaco.   Acceso controlado.;Metro: Aluche (línea 5).  Cercanías Renfe: Maestra Justa Freire - Polideportivo Aluche (línea C5).   Bicicletas: el centro dispone de aparca bicicletas exterior  con capacidad para 6 bicicletas.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4506b0c40971c010VgnVCM1000000b205a0aRCRD;DE LAS AGUILAS;AVENIDA;V;14;;;;;MADRID;MADRID;28044;7;LAS AGUILAS;10;LATINA;434332;4470525;40.382.720.517.194.700;-3.773.653.600.881.560;917 062 868;;idmaluche@madrid.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios
4624404;CDM Antonio Díaz Miguel;;Horario de uso de las instalaciones deportivas   Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes: de 7 a 14:30  y de 15:30 a 22 horas. Sábados: de 9 a 14 y de 15  a 19 horas. Domingos y festivos: 9 a 14 horas.   Cierre completo del centro  Días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.;"Servicios    Deportes Practicables   Bádminton - Baloncesto - Balonmano - Fútbol sala - Musculación - Natación  Uso de espacios deportivos Pabellón polideportivo - Piscina - Pista de bádminton - Pista de baloncesto - Pista de balonmano - Pista de fútbol sala - Sala de musculación  Enseñanzas Deportivas  Preinfantiles:  Educación Física de base &amp;ndash; matronatación &amp;ndash; natación  peques Infantiles  (edad, según modalidades):  aeróbic &amp;ndash; baloncesto &amp;ndash; balonmano &amp;ndash; fútbol sala &amp;ndash; gimnasia rítmica &amp;ndash; judo &amp;ndash; natación &amp;ndash; natación de competición &amp;ndash; polideportiva - salvamento acuático Jóvenes: aeróbic &amp;ndash; baloncesto &amp;ndash; fitness &amp;ndash; fútbol sala &amp;ndash; gimnasia rítmica &amp;ndash; judo &amp;ndash; natación Adultos: acondicionamiento físico &amp;ndash; aeróbic &amp;ndash; aeróbic/body jam &amp;ndash; aeróbic/zumba - aerofitness - baile - carrera acuática (acuarunning) &amp;ndash; ciclo sala &amp;ndash; combinada &amp;ndash; entrenamiento funcional - fitness -  fitness acuático &amp;ndash; fitness/body combat -  fuerza abdominales - fuerza CORE - fuerza hipopresivos - fuerza GAP - gimnasia acuática (acuagim) &amp;ndash; gimnasia suave &amp;ndash; gimnasia suave/body balance &amp;ndash; natación &amp;ndash; natación de compensación &amp;ndash; natación embarazadas &amp;ndash; pilates  &amp;ndash; tonificación &amp;ndash; yoga Mayores 65 años: actividad física &amp;ndash; gimnasia acuática (acuagim) - natación Personas con discapacidad: actividad acuática &amp;ndash; actividad física    Equipamientos    Superficie: 8.455,41 metros cuadrados  Unidades deportivas cubiertas: pabellón polideportivo - piscina (vaso de 25 metros y vaso de enseñanza ) - 3 salas multiusos - 1 sala de ciclo indoor- sala de musculación  Accesibilidad: instalación adaptada con 2 ascensores y 1 grúa de piscina  Acceso controlado.";Metro: Ventilla (línea 9).;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c90342b9fda34110VgnVCM1000000b205a0aRCRD;JOAQUIN DICENTA;CALLE;V;1;;;;;MADRID;MADRID;28029;4;ALMENARA;6;TETUAN;441058;4480296;40.471.254.265.861.400;-36.953.256.978.963.800;913 145 437;;idmadm@madrid.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios
99578;CDM Barajas;;Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes: mañanas de 8:30 a 9:45 y de 10:15 a 14:00 horas. Tardes de 15 a 19 y de 19:30 a 20:30 horas. Sábados, domingos: de 8:30 a 9:45 y de 10:15 a 14:15 horas.   Cierre completo del centro   Los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.;"Clases y escuelas deportivas    Pre infantiles: matronatación, natación  peques, pre-pádel, educación física de base.  Infantiles (edad, según modalidades): bádminton, baloncesto, esgrima, gimnasia rítmica, judo, natación, pirag&amp;uuml;ismo, pre-tenis, tenis, golf, bmx flat, parkour, pádel, triatlon.  Jóvenes y personas adultas: ciclo sala, fitness, gimnasia acuática (acuagim), natación, natación de compensación, natación embarazadas, natación post-parto, pádel, pilates, pilates embarazadas, salvamento acuático, tenis, yoga, cubogym, carrera acuática, fitness acuático. gimnasia suave, hábitos saludables, fuerza - gap, entrenamiento en suspensión, cuerpo y mente.  Mayores 65 años: acondicionamiento físico, gimnasia acuática (acuagim), natación, pilates mayores, carrera acuática, caminar por Madrid, prevención de caídas.  Personas con discapacidad: natación (infantil y adulta).  Programa deportivo en la calle: caminar por Madrid, corredores por Madrid y marcha nórdica.   Equipamientos    Superficie: 17.346 metros cuadrados.   Unidades Deportivas al aire libre: 4 pistas de tenis .4 pistas de pádel techadas. 2 Pistas de pádel de cristal. Pista polideportiva. Pista de patinaje techada. 1 Pista de pickleball. 2 mesas de  tenis de mesa. 1 mesa de quetball. Zona de calistenia.  Unidades Deportivas cubiertas: 1 pabellón deportivo, 1 piscina cubierta, 3 salas multiusos, 1 sala de ciclo, 1 sala de musculación..  Oficina de promoción deportiva: responsable de la coordinación de Juegos Deportivos Municipales, Torneos y Circuitos Municipales  y Copas de Primavera. Además, ofrece información sobre las Escuelas de Promoción Deportiva.   Ayudas técnicas para la accesibilidad: 1 ascensor y 1 grúa de piscina.   Columna de rescate cardíaco.   Acceso controlado.";Metro: Barajas (línea 8), Alameda de Osuna (línea 5).  Bicicleta: el centro dispone de aparcabicicletas exterior con capacidad para 6 bicicletas.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b86c79262ef5d010VgnVCM1000000b205a0aRCRD;LOGROÑO;AVENIDA;NUM;70;;;;;MADRID;MADRID;28042;1;ALAMEDA DE OSUNA;21;BARAJAS;450176;4479315;4.046.301.382.809.650;-3.587.693.324.074.620;913 290 602;;idmbarajas@madrid.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios
4695;CDM Blanca Fernández Ochoa;;Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes: de 9 a 20,00 horas. Sábados, domingos y festivos: de 9 a 14,30 horas.   Cierre completo del centro   Días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.;Clases y escuelas deportivas    Pre-Infantiles (0 a 3 años): natación.  Infantiles: gimnasia rítmica y natación.  Adultos: acondicionamiento físico, aeróbic, combinada (acondicionamiento físico/natación, pilates/natación), combinada de compensación, fitness, gimnasia acuática (acuagim), gimnasia de compensación, gimnasia rítmica , musculación, natación, natación de compensación, pilates y relax/estiramientos.  Mayores de 65 años : actividad física y gimnasia acuática (acuagim).  Personas con discapacidad física: actividad acuática (adultos).   Equipamientos    Superficie total de las instalaciones: 33.295 metros cuadrados.  Unidades deportivas al aire libre: campo de fútbol, cubo gym (contenedor convertido en gimnasio portátil), frontón, piscina (1 vaso de 50 metros, 1 vaso de recreo y 1 vaso infantil), 2 pistas de pádel, 4 pistas de pádel techadas y 1 pista polideportiva.  Unidades deportivas cubiertas: pabellón polideportivo, piscina (1 vaso de 25 metros y 1 vaso de enseñanza), 4 pistas de squash, 1 sala de musculación y 2 salas multiusos.   Oficina de promoción deportiva:juegos deportivos municipales, torneos y circuitos municipales, copas de primavera, información sobre escuelas de promoción deportiva.     Ayudas técnicas de la accesibilidad:  instalación adaptada, con grúa de piscina.     Columna de rescate cardíaco.    Acceso controlado.;Metro: Carabanchel , Eugenia de Montijo (línea 5).  Bicicleta:  el centro dispone de  aparca bicicletas exterior  con capacidad para  4  bicicletas.   Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones .;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=930942be9971c010VgnVCM1000000b205a0aRCRD;MONSEÑOR OSCAR ROMERO;CALLE;V;41;;;;;MADRID;MADRID;28025;4;VISTA ALEGRE;11;CARABANCHEL;436639;4470466;4.038.238.220.944.520;-3.746.452.142.917.390;"914 661 278                                                                     
914 661 732";;idmlamina@madrid.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios
78960;CDM Centro Integrado Arganzuela;;Horario de uso de las instalaciones deportivas   Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes, de 8:30 a 20:30 horas. Sábados y domingos, cerrado hasta nuevo aviso.   Cierre completo del centro   Mes de agosto, 24, 25 y 31 de diciembre, 1, 6 de enero y 1, 2 de mayo.;"Clases y escuelas deportivas    Pre-infantiles:matronatación (2 y 3 años) y natación peques (4 y 5 años).  Infantiles: baloncesto, natación, pádel, taekwondo, unihockey y voleibol.  Jóvenes y adultos :actividades acuáticas (natación, natación acondicionamiento, aletas acondicionamiento, gimnasia acuática, natación embarazadas, fitness acuático), pilates, fitness, GAP, gimnasia suave, natación, natación de compensación, pádel y pádel acondicionamiento, aerofitness, Fuerza-Core, Combinada Sala, Ejercicio físico &amp;ndash; Salud, y Caminar por Madrid.   Mayores 65 años : natación, acondicionamiento físico, pilates, Actividad física y Fragilidad ósea, trabajo de fuerza en sala.   Actividades para personas con discapacidad física:  natación (adultos e infantil).    Equipamientos    Superficie total de todas las instalaciones: 4.900 metros cuadrados.  Unidades deportivas al aire libre  4 Pistas de Pádel (cristal).   Unidades deportivas cubiertas:   pabellón polideportivo, piscina (vaso de 25 metros y vaso de enseñanza), fisioterapia, sala multiusos, 1 sala de musculación y 1 sala de trabajo cardiovascular.    Columna de rescate cardíaco: 2.  Servicio de Medicina Deportiva: Enfermería (turno de mañana) y Fisioterapia (turno de mañana).   Acceso controlado.";Metro: Palos de la Frontera (línea 3).   Renfe: Delicias (líneas C1 y C10).  Bicicleta: el centro dispone de aparca bicicletas exterior con capacidad para 6 bicicletas.   Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones .;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0fd38ed67151c010VgnVCM2000000c205a0aRCRD;PALOS DE LA FRONTERA;CALLE;V;40;;;;;MADRID;MADRID;28045;6;PALOS DE LA FRONTERA;2;ARGANZUELA;440991;4472718;4.040.298.456.819.400;-3.695.392.618.470.700;915 273 938;;idmestacionsur@madrid.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios
4687;CDM Cerro Almodóvar;;Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.   Horario de taquilla  De lunes a viernes: de 8:30 a 14 horas y de 14:30 a 20:30 horas.Sábados, domingos y festivos: cerrado  Cierre completo del centro   Días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo;Clases y escuelas deportivas    Pre-infantiles (de 0 a 3 años): matronatación y natación.  Infantiles (edad, según modalidades): baloncesto, gimnasia artística, gimnasia rítmica, karate, natación, natación sincronizada, pádel, pickleball, polideportiva, pretenis, salvamento acuático, tenis y voleibol.  Jóvenes y personas adultas: actividad acuática, cubo gym, entrenamiento interválico, entrenamiento en suspensión, fitness, gap (glúteos, abdomen, piernas), gimnasia acuática (acuagim), gimnasia suave, karate, natación, natación embarazadas, pádel, pickleball, pilates, pilates acuático y tenis, triatlón por Madrid específico para mujeres, voleibol.  Mayores 65 años: acondicionamiento físico, fitness, gimnasia acuática (acuagim), y natación, pilates, prevención de caídas.  Personas con discapacidad: natación (infantiles y adultas), natación sincronizada.   Equipamientos    Superficie total de las instalaciones: 61.600  metros cuadrados.  Unidades deportivas al aire libre: cubo gym, frontón corto, piscina (vaso de 42 metros, vaso de recreo y vaso infantil), 4 pistas de pádel (techadas - cristal), 2 pistas polideportivas (tenis) y 2 tenis de mesa.  Unidades deportivas cubiertas: pabellón polideportivo, piscina (vaso de 25 m. y vaso de enseñanza), sala de halterofilia, 2 salas multiusos, sala de musculación.   Ayudas técnicas para la accesibilidad:  1 grúa de piscina.  Columna de rescate cardíaco.   Acceso controlado.;Renfe: Santa Eugenia (líneas C2, C7 y C8).;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8e96b0c40971c010VgnVCM1000000b205a0aRCRD;CERRO DE ALMODOVAR;CALLE;V;9;;;;;MADRID;MADRID;28031;2;SANTA EUGENIA;18;VILLA DE VALLECAS;448872;4470296;4.038.168.820.146.640;-3.602.327.770.076.510;913 314 047;;idmcalmodovar@madrid.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios
4700;CDM Chamartín;;Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario taquilla   De lunes a viernes de 7 a 22,45 horas, sábados de 8 a 21 horas, domingos y festivos de 8 a 17 horas.   Cierre completo del centro    Días 25 de diciembre, 1 de enero y 1 de mayo.;"Clases y escuelas deportivas    Pre-infantiles (4 años): educación física de base y natación.  Infantiles  (edad, según modalidades): aeróbic, baloncesto, fútbol sala, gimnasia rítmica, judo, natación, natación sincronizada, polideportiva y taekwondo.  Jóvenes y personas adultas aeróbic/zumba, baloncesto, ciclo sala, fitness/cross training, gap (glúteos, abdomen, piernas), natación, taekwondo, acondicionamiento físico, aeróbic/ sh&amp;rsquo;bam, aeróbic/zumba, actividad acuática, acuagim, acuafitness, ciclo sala, fitness /combinada (body combat/cxwork), fitness/ body combat, fitness /cross training, gap (glúteos, abdomen, piernas), gimnasia suave/body balance, natación, natación/tecnificación, natación de compensación, natación embarazadas, pilates, tonificación/ body pump, tonificación (body pump/cxworx) y yoga.  Mayores de 65 años: actividad física, gimnasia de compensación, natación y pilates.  Programas deportivos en la calle: fitness/running.   Equipamientos    Superficie total de las instalaciones: 6.172 metros cuadrados.  Unidades deportivas cubiertas:  pabellón polideportivo, piscina  (vaso de 50 metros distribuido en calles de 25 metros y 22,5 metros), 4 salas multiusos, 2 salas de musculación y zona termal (spa).   Servicio de medicina deportiva:  fisioterapia deportiva y escuela de espalda.   Ayudas técnicas para la accesibilidad:  instalación adaptada, con 1 ascensor y 1 grúa de piscina.   Acceso controlado.";Metro: Pío XII (línea 9).  Bicicleta:  El centro dispone de aparcabicicletas interior con capacidad para 12 bicicletas.  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5f8c79262ef5d010VgnVCM1000000b205a0aRCRD;PIO XII;AVENIDA;V;2;;;;;MADRID;MADRID;28016;5;NUEVA ESPAÑA;5;CHAMARTIN;442779;4479368;4.046.113.349.830.690;-3.676.208.246.061.120;91 359 33 39;;infochamartin@forus.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios
4702;CDM Ciudad de los Poetas;;Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes de 9 a 21 horas. Sábados, domingos y festivos, cerrado.   Cierre completo del centro   Días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.;Clases y escuelas deportivas    Infantiles  (edad, según modalidades): gimnasia estética y gimnasia rítmica.  Personas adultas: aeróbic, fitness y pilates.  Mayores 65 años: acondicionamiento físico.   Equipamientos      Superficie total de las instalaciones: 1.700 metros cuadrados.  Unidades deportivas cubiertas : pabellón polideportivo.   Unidades deportivas cubiertas:  pabellón polideportivo.   Columna de rescate cardíaco.   Acceso controlado.;Metro: Antonio Machado, Valdezarza (línea 7).   Bicicleta:el centro dispone de aparca bicicletas  exterior con capacidad para 5 bicicletas.   Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones .;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2be6b0c40971c010VgnVCM1000000b205a0aRCRD;ANTONIO MACHADO;CALLE;V;12;;;;;MADRID;MADRID;28035;4;VALDEZARZA;9;MONCLOA-ARAVACA;439052;4479721;40.465.920.678.080.800;-37.189.325.594.658.500;91 373 27 39;;idmcpoetas@madrid.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios
4672;CDM Concepción;;Horario de uso de las instalaciones deportivas   Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes, de 8:30 a 14:30 y de 14:45 a 20:30 horas. Sábados, domingos: de 8:30 a 14 horas. Festivos cerrada en temporada de invierno (de septiembre al 14 de mayo).    Cierre completo del centro   Días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.;Clases y escuelas deportivas    Pre infantiles (4 y 5 años): natación.  Infantiles (edad, según modalidades): baloncesto, fútbol, gimnasia rítmica, karate, natación, polideportiva, pre tenis y tenis.  Jóvenes y personas adultas: aeróbic, fitness, gimnasia acuática  (acuagim), karate, natación, natación de compensación, natación embarazada, pádel, pilates, tenis y yoga.  Mayores 65 años: acondicionamiento físico y natación.  Personas con discapacidad: natación.   Equipamientos    Superficie  total de las instalaciones: 36.277 metros cuadrados.  Unidades deportivas al aire libre:campo de fútbol de césped artificial, 2 frontones cortos, piscina (vaso de 25 metros y vaso infantil), 3 calles de atletismo, 2 pistas de pádel, pista de patinaje, 2 pistas polideportivas y 4 pistas de tenis.  Unidades deportivas cubiertas: pabellón polideportivo, piscina (vaso de 25 metros) y sala de musculación.  Oficina de Promoción Deportiva: responsable de la coordinación de Juegos Deportivos Municipales, Torneos y Circuitos municipales y Copas de Primavera. Además, ofrece información sobre Escuelas de Promoción Deportiva.  Servicio de Medicina deportiva: acondicionamiento cardio-vascular.   Ayudas técnicas para la accesibilidad:   1 ascensor, 1 montacargas, 2 plataformas y 2 grúas de piscina.      Columna de rescate cardíaco.     Acceso controlado.;Metro: Barrio de la Concepción (línea 7), Pueblo Nuevo (líneas 5 y 7), Quintana (línea 5).  Bicicleta: el centro dispone de aparca bicicletas,    exterior con capacidad para 11 bicicletas.  interior con capacidad para 6 bicicletas.    Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones .;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f5bc79262ef5d010VgnVCM1000000b205a0aRCRD;JOSE DEL HIERRO;CALLE;V;5;;;;;MADRID;MADRID;28027;4;CONCEPCION;15;CIUDAD LINEAL;445003;4476493;4.043.725.652.047.250;-36.484.498.132.292.000;"914 039 020                                                                                     
914 039 021
914 058 719";;idmconcepcion@madrid.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios
