PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
114782;CDM Alfredo Goyeneche;;Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.    Horario de taquilla   De lunes a viernes: de 9 a 21 horas Sabados y domingos: de 9 a 13:30 horas Festivos: cerrado    Cierre completo del centro  Los fines de semana por la tarde, festivos, semana santa, fines de semana del mes de julio, mes de agosto, y los dias 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.;Clases y escuelas deportivas     Pre infantiles (4 y 5 años): natacion y predeporte.  Infantiles (edad segun modalidades): gimnasia ritmica, natacion, natacion sincronizada y padel.   Jovenes y adultos (de 15 a 64 años): acuagim, aerobic, combinadas, estiramientos, fitness, fitness acuatico, GAP (gluteos, abdomen y piernas), marcha nordica, natacion, padel, pilates y yoga.  Mayores 65 años: actividad fisica, acuagim, gimnasia acuatica, natacion, pilates y prevencion de caidas.  Personas con discapacidad: natacion.   Equipamientos    Superficie total de las instalaciones: 13.505 metros cuadrados.  Unidades deportivas al aire libre: 2 pistas de padel, 3 pistas de padel (cristal), 2 pistas de tenis y rocodromo.  Unidades deportivas cubiertas: pabellon polideportivo, piscina (vaso 25 metros y vaso de enseñanza), sala de musculacion, 2 salas multiusos.  Ayudas tecnicas para la accesibilidad: 1 ascensor, 1 plataforma y 1 grua de piscina.  Columna de rescate cardiaco.   Acceso controlado.;Renfe: Aravaca (lineas C7 y C10).  Bicicleta: El centro dispone de aparca bicicletas exterior con capacidad para 5 bicicletas.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=789fe8ae8d81c010VgnVCM1000000b205a0aRCRD;ARROYO DE POZUELO;CALLE;V;99;;;;;MADRID;MADRID;28023;7;ARAVACA;9;MONCLOA-ARAVACA;433581;4478234;4.045.212.135.012.850;-3.783.283.203.719.190;913 571 228;;idmagoyeneche@madrid.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios
4696;CDM Aluche;;Horario de uso de las instalaciones deportivas Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a domingos y festivos de 8,30 a 20,30 horas.   Cierre completo del centro    Dias 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.;Clases y escuelas deportivas    Pre-Infantiles (1 a 5 años, segun modalidades): actividad fisica y juego, natacion, patinaje velocidad y pre-deporte (gimnasia ritmica y artistica).  Infantiles (6 a 14 años, segun modalidades): aerobic, atletismo, baloncesto, buceo, futbol, gimnasia artistica, gimnasia ritmica, gimnasia ritmica (estetica), hockey patines, judo, karate shyto, natacion, patinaje artistico, patinaje velocidad, polideportiva, tenis y voleibol.  Jovenes y adultos (15 a 64 años, segun modalidades): aerobic, acuapilates, atletismo, bailes de salon, baloncesto, carrera acuatica (acuarunning) , caminar por Madrid, correr por Madrid (carrera popular), ciclo sala, fitness, gimnasia acuatica (acuagim), GAP (gluteos, abdomen, piernas) , gimnasia de compensacion (salud), gimnasia ritmica (estetica), judo, karate shyto,  marcha nordica, natacion, natacion de compensacion, natacion embarazadas, padel, pilates, streching, tenis y yoga dinamico.  Mayores de 65 años: acondicionamiento fisico deportivo, gimnasia acuatica (acuagim), natacion y pilates.  Personas con discapacidad fisica: natacion.    Actividades fisico deportivas para centros escolares: escuela deportiva de educacion Vial.   Equipamientos    Superficie total de las instalaciones:  13.960 metros cuadrados  Unidades deportivas al aire libre: 1 campo de futbol de cesped artificial, circuito de educacion vial, 1 fronton corto, 1 fronton largo, patinodromo, piscinas (1 vaso de gemelas y 1 vaso infantil), pista de atletismo, pista de hockey patines techada, 4 pistas de padel, pista de patinaje, 9 pistas polideportivas, 9 pistas de tenis, 2 pistas de voley playa y 19 tenis de mesa.   Unidades deportivas cubiertas:  pabellon polideportivo, piscinas (vaso de 50 metros y vaso de 25 metros), sala de artes marciales, salas multiusos, sala de musculacion y 2 saunas.    Servicio de medicina deportiva: Acondicionamiento cardiovascular, reconocimientos medicos para deportistas.  Ayudas tecnicas para la accesibilidad: 1 grua de piscina.   Oficina de promocion deportiva: responsable de la coordinacion de Juegos deportivos municipales, torneos y circuitos municipales, copas de primavera, informacion en las escuelas de promocion deportiva.   Columna de rescate cardiaco.   Acceso controlado.;Metro: Aluche (linea 5).  Cercanias Renfe: Maestra Justa Freire - Polideportivo Aluche (linea C5).   Bicicletas: el centro dispone de aparca bicicletas exterior  con capacidad para 6 bicicletas.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4506b0c40971c010VgnVCM1000000b205a0aRCRD;DE LAS AGUILAS;AVENIDA;V;14;;;;;MADRID;MADRID;28044;7;LAS AGUILAS;10;LATINA;434332;4470525;40.382.720.517.194.700;-3.773.653.600.881.560;917 062 868;;idmaluche@madrid.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios
4624404;CDM Antonio Diaz Miguel;;Horario de uso de las instalaciones deportivas   Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes: de 7 a 14:30  y de 15:30 a 22 horas. Sabados: de 9 a 14 y de 15  a 19 horas. Domingos y festivos: 9 a 14 horas.   Cierre completo del centro  Dias 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.;"Servicios    Deportes Practicables   Badminton - Baloncesto - Balonmano - Futbol sala - Musculacion - Natacion  Uso de espacios deportivos Pabellon polideportivo - Piscina - Pista de badminton - Pista de baloncesto - Pista de balonmano - Pista de futbol sala - Sala de musculacion  Enseñanzas Deportivas  Preinfantiles:  Educacion Fisica de base &amp;ndash; matronatacion &amp;ndash; natacion  peques Infantiles  (edad, segun modalidades):  aerobic &amp;ndash; baloncesto &amp;ndash; balonmano &amp;ndash; futbol sala &amp;ndash; gimnasia ritmica &amp;ndash; judo &amp;ndash; natacion &amp;ndash; natacion de competicion &amp;ndash; polideportiva - salvamento acuatico Jovenes: aerobic &amp;ndash; baloncesto &amp;ndash; fitness &amp;ndash; futbol sala &amp;ndash; gimnasia ritmica &amp;ndash; judo &amp;ndash; natacion Adultos: acondicionamiento fisico &amp;ndash; aerobic &amp;ndash; aerobic/body jam &amp;ndash; aerobic/zumba - aerofitness - baile - carrera acuatica (acuarunning) &amp;ndash; ciclo sala &amp;ndash; combinada &amp;ndash; entrenamiento funcional - fitness -  fitness acuatico &amp;ndash; fitness/body combat -  fuerza abdominales - fuerza CORE - fuerza hipopresivos - fuerza GAP - gimnasia acuatica (acuagim) &amp;ndash; gimnasia suave &amp;ndash; gimnasia suave/body balance &amp;ndash; natacion &amp;ndash; natacion de compensacion &amp;ndash; natacion embarazadas &amp;ndash; pilates  &amp;ndash; tonificacion &amp;ndash; yoga Mayores 65 años: actividad fisica &amp;ndash; gimnasia acuatica (acuagim) - natacion Personas con discapacidad: actividad acuatica &amp;ndash; actividad fisica    Equipamientos    Superficie: 8.455,41 metros cuadrados  Unidades deportivas cubiertas: pabellon polideportivo - piscina (vaso de 25 metros y vaso de enseñanza ) - 3 salas multiusos - 1 sala de ciclo indoor- sala de musculacion  Accesibilidad: instalacion adaptada con 2 ascensores y 1 grua de piscina  Acceso controlado.";Metro: Ventilla (linea 9).;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c90342b9fda34110VgnVCM1000000b205a0aRCRD;JOAQUIN DICENTA;CALLE;V;1;;;;;MADRID;MADRID;28029;4;ALMENARA;6;TETUAN;441058;4480296;40.471.254.265.861.400;-36.953.256.978.963.800;913 145 437;;idmadm@madrid.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios
99578;CDM Barajas;;Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes: mañanas de 8:30 a 9:45 y de 10:15 a 14:00 horas. Tardes de 15 a 19 y de 19:30 a 20:30 horas. Sabados, domingos: de 8:30 a 9:45 y de 10:15 a 14:15 horas.   Cierre completo del centro   Los dias 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.;"Clases y escuelas deportivas    Pre infantiles: matronatacion, natacion  peques, pre-padel, educacion fisica de base.  Infantiles (edad, segun modalidades): badminton, baloncesto, esgrima, gimnasia ritmica, judo, natacion, pirag&amp;uuml;ismo, pre-tenis, tenis, golf, bmx flat, parkour, padel, triatlon.  Jovenes y personas adultas: ciclo sala, fitness, gimnasia acuatica (acuagim), natacion, natacion de compensacion, natacion embarazadas, natacion post-parto, padel, pilates, pilates embarazadas, salvamento acuatico, tenis, yoga, cubogym, carrera acuatica, fitness acuatico. gimnasia suave, habitos saludables, fuerza - gap, entrenamiento en suspension, cuerpo y mente.  Mayores 65 años: acondicionamiento fisico, gimnasia acuatica (acuagim), natacion, pilates mayores, carrera acuatica, caminar por Madrid, prevencion de caidas.  Personas con discapacidad: natacion (infantil y adulta).  Programa deportivo en la calle: caminar por Madrid, corredores por Madrid y marcha nordica.   Equipamientos    Superficie: 17.346 metros cuadrados.   Unidades Deportivas al aire libre: 4 pistas de tenis .4 pistas de padel techadas. 2 Pistas de padel de cristal. Pista polideportiva. Pista de patinaje techada. 1 Pista de pickleball. 2 mesas de  tenis de mesa. 1 mesa de quetball. Zona de calistenia.  Unidades Deportivas cubiertas: 1 pabellon deportivo, 1 piscina cubierta, 3 salas multiusos, 1 sala de ciclo, 1 sala de musculacion..  Oficina de promocion deportiva: responsable de la coordinacion de Juegos Deportivos Municipales, Torneos y Circuitos Municipales  y Copas de Primavera. Ademas, ofrece informacion sobre las Escuelas de Promocion Deportiva.   Ayudas tecnicas para la accesibilidad: 1 ascensor y 1 grua de piscina.   Columna de rescate cardiaco.   Acceso controlado.";Metro: Barajas (linea 8), Alameda de Osuna (linea 5).  Bicicleta: el centro dispone de aparcabicicletas exterior con capacidad para 6 bicicletas.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b86c79262ef5d010VgnVCM1000000b205a0aRCRD;LOGROÑO;AVENIDA;NUM;70;;;;;MADRID;MADRID;28042;1;ALAMEDA DE OSUNA;21;BARAJAS;450176;4479315;4.046.301.382.809.650;-3.587.693.324.074.620;913 290 602;;idmbarajas@madrid.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios
4695;CDM Blanca Fernandez Ochoa;;Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes: de 9 a 20,00 horas. Sabados, domingos y festivos: de 9 a 14,30 horas.   Cierre completo del centro   Dias 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.;Clases y escuelas deportivas    Pre-Infantiles (0 a 3 años): natacion.  Infantiles: gimnasia ritmica y natacion.  Adultos: acondicionamiento fisico, aerobic, combinada (acondicionamiento fisico/natacion, pilates/natacion), combinada de compensacion, fitness, gimnasia acuatica (acuagim), gimnasia de compensacion, gimnasia ritmica , musculacion, natacion, natacion de compensacion, pilates y relax/estiramientos.  Mayores de 65 años : actividad fisica y gimnasia acuatica (acuagim).  Personas con discapacidad fisica: actividad acuatica (adultos).   Equipamientos    Superficie total de las instalaciones: 33.295 metros cuadrados.  Unidades deportivas al aire libre: campo de futbol, cubo gym (contenedor convertido en gimnasio portatil), fronton, piscina (1 vaso de 50 metros, 1 vaso de recreo y 1 vaso infantil), 2 pistas de padel, 4 pistas de padel techadas y 1 pista polideportiva.  Unidades deportivas cubiertas: pabellon polideportivo, piscina (1 vaso de 25 metros y 1 vaso de enseñanza), 4 pistas de squash, 1 sala de musculacion y 2 salas multiusos.   Oficina de promocion deportiva:juegos deportivos municipales, torneos y circuitos municipales, copas de primavera, informacion sobre escuelas de promocion deportiva.     Ayudas tecnicas de la accesibilidad:  instalacion adaptada, con grua de piscina.     Columna de rescate cardiaco.    Acceso controlado.;Metro: Carabanchel , Eugenia de Montijo (linea 5).  Bicicleta:  el centro dispone de  aparca bicicletas exterior  con capacidad para  4  bicicletas.   Servicio Bicimad , para consultar la estacion mas cercana, acceda al  mapa de geolocalizacion de las estaciones .;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=930942be9971c010VgnVCM1000000b205a0aRCRD;MONSEÑOR OSCAR ROMERO;CALLE;V;41;;;;;MADRID;MADRID;28025;4;VISTA ALEGRE;11;CARABANCHEL;436639;4470466;4.038.238.220.944.520;-3.746.452.142.917.390;"914 661 278                                                                     
914 661 732";;idmlamina@madrid.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios
78960;CDM Centro Integrado Arganzuela;;Horario de uso de las instalaciones deportivas   Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes, de 8:30 a 20:30 horas. Sabados y domingos, cerrado hasta nuevo aviso.   Cierre completo del centro   Mes de agosto, 24, 25 y 31 de diciembre, 1, 6 de enero y 1, 2 de mayo.;"Clases y escuelas deportivas    Pre-infantiles:matronatacion (2 y 3 años) y natacion peques (4 y 5 años).  Infantiles: baloncesto, natacion, padel, taekwondo, unihockey y voleibol.  Jovenes y adultos :actividades acuaticas (natacion, natacion acondicionamiento, aletas acondicionamiento, gimnasia acuatica, natacion embarazadas, fitness acuatico), pilates, fitness, GAP, gimnasia suave, natacion, natacion de compensacion, padel y padel acondicionamiento, aerofitness, Fuerza-Core, Combinada Sala, Ejercicio fisico &amp;ndash; Salud, y Caminar por Madrid.   Mayores 65 años : natacion, acondicionamiento fisico, pilates, Actividad fisica y Fragilidad osea, trabajo de fuerza en sala.   Actividades para personas con discapacidad fisica:  natacion (adultos e infantil).    Equipamientos    Superficie total de todas las instalaciones: 4.900 metros cuadrados.  Unidades deportivas al aire libre  4 Pistas de Padel (cristal).   Unidades deportivas cubiertas:   pabellon polideportivo, piscina (vaso de 25 metros y vaso de enseñanza), fisioterapia, sala multiusos, 1 sala de musculacion y 1 sala de trabajo cardiovascular.    Columna de rescate cardiaco: 2.  Servicio de Medicina Deportiva: Enfermeria (turno de mañana) y Fisioterapia (turno de mañana).   Acceso controlado.";Metro: Palos de la Frontera (linea 3).   Renfe: Delicias (lineas C1 y C10).  Bicicleta: el centro dispone de aparca bicicletas exterior con capacidad para 6 bicicletas.   Servicio Bicimad , para consultar la estacion mas cercana, acceda al  mapa de geolocalizacion de las estaciones .;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0fd38ed67151c010VgnVCM2000000c205a0aRCRD;PALOS DE LA FRONTERA;CALLE;V;40;;;;;MADRID;MADRID;28045;6;PALOS DE LA FRONTERA;2;ARGANZUELA;440991;4472718;4.040.298.456.819.400;-3.695.392.618.470.700;915 273 938;;idmestacionsur@madrid.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios
4687;CDM Cerro Almodovar;;Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.   Horario de taquilla  De lunes a viernes: de 8:30 a 14 horas y de 14:30 a 20:30 horas.Sabados, domingos y festivos: cerrado  Cierre completo del centro   Dias 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo;Clases y escuelas deportivas    Pre-infantiles (de 0 a 3 años): matronatacion y natacion.  Infantiles (edad, segun modalidades): baloncesto, gimnasia artistica, gimnasia ritmica, karate, natacion, natacion sincronizada, padel, pickleball, polideportiva, pretenis, salvamento acuatico, tenis y voleibol.  Jovenes y personas adultas: actividad acuatica, cubo gym, entrenamiento intervalico, entrenamiento en suspension, fitness, gap (gluteos, abdomen, piernas), gimnasia acuatica (acuagim), gimnasia suave, karate, natacion, natacion embarazadas, padel, pickleball, pilates, pilates acuatico y tenis, triatlon por Madrid especifico para mujeres, voleibol.  Mayores 65 años: acondicionamiento fisico, fitness, gimnasia acuatica (acuagim), y natacion, pilates, prevencion de caidas.  Personas con discapacidad: natacion (infantiles y adultas), natacion sincronizada.   Equipamientos    Superficie total de las instalaciones: 61.600  metros cuadrados.  Unidades deportivas al aire libre: cubo gym, fronton corto, piscina (vaso de 42 metros, vaso de recreo y vaso infantil), 4 pistas de padel (techadas - cristal), 2 pistas polideportivas (tenis) y 2 tenis de mesa.  Unidades deportivas cubiertas: pabellon polideportivo, piscina (vaso de 25 m. y vaso de enseñanza), sala de halterofilia, 2 salas multiusos, sala de musculacion.   Ayudas tecnicas para la accesibilidad:  1 grua de piscina.  Columna de rescate cardiaco.   Acceso controlado.;Renfe: Santa Eugenia (lineas C2, C7 y C8).;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8e96b0c40971c010VgnVCM1000000b205a0aRCRD;CERRO DE ALMODOVAR;CALLE;V;9;;;;;MADRID;MADRID;28031;2;SANTA EUGENIA;18;VILLA DE VALLECAS;448872;4470296;4.038.168.820.146.640;-3.602.327.770.076.510;913 314 047;;idmcalmodovar@madrid.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios
4700;CDM Chamartin;;Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario taquilla   De lunes a viernes de 7 a 22,45 horas, sabados de 8 a 21 horas, domingos y festivos de 8 a 17 horas.   Cierre completo del centro    Dias 25 de diciembre, 1 de enero y 1 de mayo.;"Clases y escuelas deportivas    Pre-infantiles (4 años): educacion fisica de base y natacion.  Infantiles  (edad, segun modalidades): aerobic, baloncesto, futbol sala, gimnasia ritmica, judo, natacion, natacion sincronizada, polideportiva y taekwondo.  Jovenes y personas adultas aerobic/zumba, baloncesto, ciclo sala, fitness/cross training, gap (gluteos, abdomen, piernas), natacion, taekwondo, acondicionamiento fisico, aerobic/ sh&amp;rsquo;bam, aerobic/zumba, actividad acuatica, acuagim, acuafitness, ciclo sala, fitness /combinada (body combat/cxwork), fitness/ body combat, fitness /cross training, gap (gluteos, abdomen, piernas), gimnasia suave/body balance, natacion, natacion/tecnificacion, natacion de compensacion, natacion embarazadas, pilates, tonificacion/ body pump, tonificacion (body pump/cxworx) y yoga.  Mayores de 65 años: actividad fisica, gimnasia de compensacion, natacion y pilates.  Programas deportivos en la calle: fitness/running.   Equipamientos    Superficie total de las instalaciones: 6.172 metros cuadrados.  Unidades deportivas cubiertas:  pabellon polideportivo, piscina  (vaso de 50 metros distribuido en calles de 25 metros y 22,5 metros), 4 salas multiusos, 2 salas de musculacion y zona termal (spa).   Servicio de medicina deportiva:  fisioterapia deportiva y escuela de espalda.   Ayudas tecnicas para la accesibilidad:  instalacion adaptada, con 1 ascensor y 1 grua de piscina.   Acceso controlado.";Metro: Pio XII (linea 9).  Bicicleta:  El centro dispone de aparcabicicletas interior con capacidad para 12 bicicletas.  Servicio Bicimad, para consultar la estacion mas cercana, acceda al mapa de geolocalizacion de las estaciones.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5f8c79262ef5d010VgnVCM1000000b205a0aRCRD;PIO XII;AVENIDA;V;2;;;;;MADRID;MADRID;28016;5;NUEVA ESPAÑA;5;CHAMARTIN;442779;4479368;4.046.113.349.830.690;-3.676.208.246.061.120;91 359 33 39;;infochamartin@forus.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios
4702;CDM Ciudad de los Poetas;;Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes de 9 a 21 horas. Sabados, domingos y festivos, cerrado.   Cierre completo del centro   Dias 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.;Clases y escuelas deportivas    Infantiles  (edad, segun modalidades): gimnasia estetica y gimnasia ritmica.  Personas adultas: aerobic, fitness y pilates.  Mayores 65 años: acondicionamiento fisico.   Equipamientos      Superficie total de las instalaciones: 1.700 metros cuadrados.  Unidades deportivas cubiertas : pabellon polideportivo.   Unidades deportivas cubiertas:  pabellon polideportivo.   Columna de rescate cardiaco.   Acceso controlado.;Metro: Antonio Machado, Valdezarza (linea 7).   Bicicleta:el centro dispone de aparca bicicletas  exterior con capacidad para 5 bicicletas.   Servicio Bicimad , para consultar la estacion mas cercana, acceda al  mapa de geolocalizacion de las estaciones .;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2be6b0c40971c010VgnVCM1000000b205a0aRCRD;ANTONIO MACHADO;CALLE;V;12;;;;;MADRID;MADRID;28035;4;VALDEZARZA;9;MONCLOA-ARAVACA;439052;4479721;40.465.920.678.080.800;-37.189.325.594.658.500;91 373 27 39;;idmcpoetas@madrid.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios
4672;CDM Concepcion;;Horario de uso de las instalaciones deportivas   Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes, de 8:30 a 14:30 y de 14:45 a 20:30 horas. Sabados, domingos: de 8:30 a 14 horas. Festivos cerrada en temporada de invierno (de septiembre al 14 de mayo).    Cierre completo del centro   Dias 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.;Clases y escuelas deportivas    Pre infantiles (4 y 5 años): natacion.  Infantiles (edad, segun modalidades): baloncesto, futbol, gimnasia ritmica, karate, natacion, polideportiva, pre tenis y tenis.  Jovenes y personas adultas: aerobic, fitness, gimnasia acuatica  (acuagim), karate, natacion, natacion de compensacion, natacion embarazada, padel, pilates, tenis y yoga.  Mayores 65 años: acondicionamiento fisico y natacion.  Personas con discapacidad: natacion.   Equipamientos    Superficie  total de las instalaciones: 36.277 metros cuadrados.  Unidades deportivas al aire libre:campo de futbol de cesped artificial, 2 frontones cortos, piscina (vaso de 25 metros y vaso infantil), 3 calles de atletismo, 2 pistas de padel, pista de patinaje, 2 pistas polideportivas y 4 pistas de tenis.  Unidades deportivas cubiertas: pabellon polideportivo, piscina (vaso de 25 metros) y sala de musculacion.  Oficina de Promocion Deportiva: responsable de la coordinacion de Juegos Deportivos Municipales, Torneos y Circuitos municipales y Copas de Primavera. Ademas, ofrece informacion sobre Escuelas de Promocion Deportiva.  Servicio de Medicina deportiva: acondicionamiento cardio-vascular.   Ayudas tecnicas para la accesibilidad:   1 ascensor, 1 montacargas, 2 plataformas y 2 gruas de piscina.      Columna de rescate cardiaco.     Acceso controlado.;Metro: Barrio de la Concepcion (linea 7), Pueblo Nuevo (lineas 5 y 7), Quintana (linea 5).  Bicicleta: el centro dispone de aparca bicicletas,    exterior con capacidad para 11 bicicletas.  interior con capacidad para 6 bicicletas.    Servicio Bicimad , para consultar la estacion mas cercana, acceda al  mapa de geolocalizacion de las estaciones .;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f5bc79262ef5d010VgnVCM1000000b205a0aRCRD;JOSE DEL HIERRO;CALLE;V;5;;;;;MADRID;MADRID;28027;4;CONCEPCION;15;CIUDAD LINEAL;445003;4476493;4.043.725.652.047.250;-36.484.498.132.292.000;"914 039 020                                                                                     
914 039 021
914 058 719";;idmconcepcion@madrid.es;/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios
